Name,Maker,Sector,Industry,Price,Collection,Ticked
HRC,"Hill-Rom Holdings, Inc.",Healthcare,Medical Instruments & Supplies,WIKI/HRC,stocks/hrc,FALSE
HRB,,Services,Personal Services,WIKI/HRB,stocks/hrb,FALSE
HRG,Harbinger Group Inc.,Conglomerates,Conglomerates,WIKI/HRG,stocks/hrg,FALSE
HR,Healthcare Realty Trust Incorporated,Financial,REIT - Healthcare Facilities,NA,stocks/hr,FALSE
HRL,Hormel Foods Corporation,Consumer Goods,Meat Products,WIKI/HRL,stocks/hrl,FALSE
HRS,Harris Corporation,Technology,Communication Equipment,WIKI/HRS,stocks/hrs,FALSE
HRT,Arrhythmia Research Technology Inc.,Healthcare,Medical Appliances & Equipment,NA,stocks/hrt,FALSE
HSC,Harsco Corporation,Basic Materials,Industrial Metals & Minerals,WIKI/HSC,stocks/hsc,FALSE
HSH,The Hillshire Brands Company,Consumer Goods,Processed & Packaged Goods,WIKI/HSH,stocks/hsh,FALSE
HSIC,"Henry Schein, Inc.",Services,Medical Equipment Wholesale,WIKI/HSIC,stocks/hsic,FALSE
HSII,Heidrick & Struggles International Inc.,Services,Staffing & Outsourcing Services,WIKI/HSII,stocks/hsii,FALSE
HSKA,Heska Corporation,Healthcare,Medical Laboratories & Research,NA,stocks/hska,FALSE
HSON,"Hudson Global, Inc",Services,Staffing & Outsourcing Services,NA,stocks/hson,FALSE
HSNI,"HSN, Inc.",Services,"Specialty Retail, Other",WIKI/HSNI,stocks/hsni,FALSE
HSP,Hospira Inc.,Healthcare,Drugs - Generic,WIKI/HSP,stocks/hsp,FALSE
HST,"Host Hotels & Resorts, Inc.",Financial,REIT - Hotel/Motel,WIKI/HST,stocks/hst,FALSE
HSTM,Healthstream Inc.,Technology,Healthcare Information Services,WIKI/HSTM,stocks/hstm,FALSE
HSY,The Hershey Company,Consumer Goods,Confectioners,WIKI/HSY,stocks/hsy,FALSE
HT,Hersha Hospitality Trust,Financial,REIT - Hotel/Motel,NA,stocks/ht,FALSE
HTA,"Healthcare Trust of America, Inc.",Financial,REIT - Healthcare Facilities,NA,NA,FALSE
HTBI,"HomeTrust Bancshares, Inc.",Financial,Regional - Northeast Banks,WIKI/HTBI,stocks/htbi,FALSE
HTBK,Heritage Commerce Corp.,Financial,Regional - Pacific Banks,WIKI/HTBK,stocks/htbk,FALSE
HTCH,Hutchinson Technology Inc.,Technology,Diversified Electronics,WIKI/HTCH,stocks/htch,FALSE
HTCO,Hickory Tech Corp.,Technology,Telecom Services - Domestic,WIKI/HTCO,stocks/htco,FALSE
HTH,Hilltop Holdings Inc.,Financial,Mortgage Investment,WIKI/HTH,stocks/hth,FALSE
HTLD,"Heartland Express, Inc.",Services,Trucking,WIKI/HTLD,stocks/htld,FALSE
HTLF,"Heartland Financial USA, Inc.",Financial,Regional - Southwest Banks,WIKI/HTLF,stocks/htlf,FALSE
HTM,U.S. Geothermal Inc.,Utilities,Diversified Utilities,NA,stocks/htm,FALSE
HTS,Hatteras Financial Corp,Financial,REIT - Residential,NA,NA,FALSE
HTWR,Heartware International Inc.,Healthcare,Medical Instruments & Supplies,WIKI/HTWR,stocks/htwr,FALSE
HTZ,"Hertz Global Holdings, Inc.",Services,Rental & Leasing Services,WIKI/HTZ,stocks/htz,FALSE
HUBB,Hubbell Inc.,Technology,Diversified Electronics,NA,stocks/hubb,FALSE
HUBG,Hub Group Inc.,Services,Air Delivery & Freight Services,WIKI/HUBG,stocks/hubg,FALSE
HUM,Humana Inc.,Healthcare,Health Care Plans,WIKI/HUM,stocks/hum,FALSE
HUN,Huntsman Corporation,Basic Materials,Chemicals - Major Diversified,WIKI/HUN,stocks/hun,FALSE
HURC,Hurco Companies Inc.,Technology,Scientific & Technical Instruments,WIKI/HURC,stocks/hurc,FALSE
HURN,Huron Consulting Group Inc.,Services,Management Services,WIKI/HURN,stocks/hurn,FALSE
HUSA,Houston American Energy Corp.,Basic Materials,Independent Oil & Gas,NA,stocks/husa,FALSE
HVB,Hudson Valley Holding Corp.,Financial,Regional - Northeast Banks,WIKI/HVB,stocks/hvb,FALSE
HVT,Haverty Furniture Companies Inc.,Services,Home Furnishing Stores,WIKI/HVT,stocks/hvt,FALSE
HW,Headwaters Incorporated,Industrial Goods,General Building Materials,WIKI/HW,stocks/hw,FALSE
HWAY,Healthways Inc.,Healthcare,Specialized Health Services,WIKI/HWAY,stocks/hway,FALSE
HWBK,"Hawthorn Bancshares, Inc.",Financial,Regional - Northeast Banks,NA,stocks/hwbk,FALSE
HWG,The Hallwood Group Incorporated,Industrial Goods,Textile Industrial,NA,stocks/hwg,FALSE
HWCC,Houston Wire & Cable Company,Services,Industrial Equipment Wholesale,WIKI/HWCC,stocks/hwcc,FALSE
HWKN,Hawkins Inc.,Basic Materials,Specialty Chemicals,WIKI/HWKN,stocks/hwkn,FALSE
HXL,Hexcel Corp.,Industrial Goods,Aerospace/Defense Products & Services,WIKI/HXL,stocks/hxl,FALSE
HY,"Hyster-Yale Materials Handling, Inc.",Consumer Goods,Trucks & Other Vehicles,WIKI/HY,stocks/hy,FALSE
HZNP,"Horizon Pharma, Inc.",Healthcare,Drugs - Generic,WIKI/HZNP,stocks/hznp,FALSE
HZO,Marinemax Inc.,Services,"Specialty Retail, Other",WIKI/HZO,stocks/hzo,FALSE
IACI,IAC/InterActiveCorp,Technology,Internet Information Providers,WIKI/IACI,stocks/iaci,FALSE
IART,Integra LifeSciences Holdings Corporation,Healthcare,Medical Instruments & Supplies,WIKI/IART,stocks/iart,FALSE
IBCA,Intervest Bancshares Corp.,Financial,Credit Services,WIKI/IBCA,stocks/ibca,FALSE
IBCP,Independent Bank Corporation,Financial,Regional - Midwest Banks,NA,stocks/ibcp,FALSE
IBIO,"iBio, Inc.",Healthcare,Biotechnology,NA,stocks/ibio,FALSE
IBKC,IberiaBank Corp.,Financial,Regional - Southeast Banks,WIKI/IBKC,stocks/ibkc,FALSE
IBKR,"Interactive Brokers Group, Inc.",Financial,Investment Brokerage - National,WIKI/IBKR,stocks/ibkr,FALSE
IBM,International Business Machines Corporation,Technology,Information Technology Services,WIKI/IBM,stocks/ibm,FALSE
IBOC,International Bancshares Corporation,Financial,Regional - Southwest Banks,WIKI/IBOC,stocks/iboc,FALSE
ICAD,"iCAD, Inc.",Technology,Technical & System Software,NA,stocks/icad,FALSE
IBTX,"Independent Bank Group, Inc.",Financial,Regional - Southeast Banks,WIKI/IBTX,stocks/ibtx,FALSE
ICCC,ImmuCell Corp.,Healthcare,Biotechnology,NA,stocks/iccc,FALSE
ICE,"IntercontinentalExchange Group, Inc.",Financial,Diversified Investments,WIKI/ICE,stocks/ice,FALSE
ICFI,ICF International Inc.,Services,Management Services,WIKI/ICFI,stocks/icfi,FALSE
ICGE,"ICG Group, Inc.",Technology,Application Software,WIKI/ICGE,stocks/icge,FALSE
ICH,"Investors Capital Holdings, Ltd.",Financial,Diversified Investments,NA,NA,FALSE
ICON,"Iconix Brand Group, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,WIKI/ICON,stocks/icon,FALSE
ICUI,"ICU Medical, Inc.",Healthcare,Medical Instruments & Supplies,WIKI/ICUI,stocks/icui,FALSE
ICPT,"Intercept Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Major,WIKI/ICPT,stocks/icpt,FALSE
IDA,"IdaCorp, Inc.",Utilities,Electric Utilities,WIKI/IDA,stocks/ida,FALSE
IDCC,"InterDigital, Inc.",Technology,Wireless Communications,WIKI/IDCC,stocks/idcc,FALSE
IDIX,Idenix Pharmaceuticals Inc.,Healthcare,Biotechnology,WIKI/IDIX,stocks/idix,FALSE
IDN,"Intellicheck Mobilisa, Inc.",Technology,Application Software,NA,stocks/idn,FALSE
IDRA,"Idera Pharmaceuticals, Inc.",Healthcare,Biotechnology,NA,stocks/idra,FALSE
IDSA,"Industrial Services of America, Inc.",Industrial Goods,Waste Management,NA,stocks/idsa,FALSE
IDSY,ID Systems Inc.,Technology,Communication Equipment,NA,stocks/idsy,FALSE
IDT,IDT Corporation,Technology,Diversified Communication Services,WIKI/IDT,stocks/idt,FALSE
IDTI,"Integrated Device Technology, Inc.",Technology,Semiconductor - Broad Line,WIKI/IDTI,stocks/idti,FALSE
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostic Substances,WIKI/IDXX,stocks/idxx,FALSE
IEC,IEC Electronics Corp.,Technology,Printed Circuit Boards,NA,stocks/iec,FALSE
IEP,"Icahn Enterprises, L.P.",Conglomerates,Conglomerates,NA,NA,FALSE
IESC,"Integrated Electrical Services, Inc.",Industrial Goods,General Contractors,NA,stocks/iesc,FALSE
IEX,IDEX Corporation,Industrial Goods,Diversified Machinery,WIKI/IEX,stocks/iex,FALSE
IFMI,"Institutional Financial Markets, Inc.",Financial,Investment Brokerage - National,NA,stocks/ifmi,FALSE
IFNY,Infinity Energy Resources Inc.,,,NA,stocks/ifny,FALSE
IFT,"Imperial Holdings, Inc.",Financial,Life Insurance,WIKI/IFT,stocks/ift,FALSE
IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,WIKI/IFF,stocks/iff,FALSE
IG,"IGI, Laboratories, Inc.",Healthcare,Biotechnology,NA,stocks/ig,FALSE
IFON,Infosonics Corp.,Technology,Communication Equipment,NA,stocks/ifon,FALSE
IGC,"India Globalization Capital, Inc.",Industrial Goods,Heavy Construction,NA,stocks/igc,FALSE
IGOI,"iGo, Inc.",Technology,Computer Based Systems,NA,stocks/igoi,FALSE
IGTE,iGATE Corporation,Technology,Information Technology Services,WIKI/IGTE,stocks/igte,FALSE
IHC,Independence Holding Co.,Financial,Life Insurance,WIKI/IHC,stocks/ihc,FALSE
IHT,Innsuites Hospitality Trust,Financial,REIT - Hotel/Motel,NA,NA,FALSE
III,"Information Services Group, Inc.",Services,Management Services,NA,stocks/iii,FALSE
IILG,"Interval Leisure Group, Inc.",Services,Business Services,WIKI/IILG,stocks/iilg,FALSE
IIN,Intricon Corp.,Industrial Goods,Diversified Machinery,NA,stocks/iin,FALSE
IIIN,Insteel Industries Inc.,Basic Materials,Steel & Iron,WIKI/IIIN,stocks/iiin,FALSE
IKAN,"Ikanos Communications, Inc.",Technology,Communication Equipment,NA,stocks/ikan,FALSE
IKNX,Ikonics Corp.,Basic Materials,Specialty Chemicals,NA,stocks/iknx,FALSE
IIVI,II-VI Incorporated,Technology,Scientific & Technical Instruments,WIKI/IIVI,stocks/iivi,FALSE
IL,"IntraLinks Holdings, Inc.",Technology,Security Software & Services,WIKI/IL,stocks/il,FALSE
ILMN,Illumina Inc.,Healthcare,Biotechnology,WIKI/ILMN,stocks/ilmn,FALSE
IM,Ingram Micro Inc.,Services,Computers Wholesale,WIKI/IM,stocks/im,FALSE
IMAX,IMAX Corporation,Services,Entertainment - Diversified,NA,stocks/imax,FALSE
IMGN,"ImmunoGen, Inc.",Healthcare,Biotechnology,WIKI/IMGN,stocks/imgn,FALSE
IMH,Impac Mortgage Holdings Inc.,Financial,Mortgage Investment,NA,stocks/imh,FALSE
IMCB,Intermountain Community Bancorp,Financial,Regional - Southwest Banks,NA,stocks/imcb,FALSE
IMI,"Intermolecular, Inc.",Technology,Semiconductor Equipment & Materials,WIKI/IMI,stocks/imi,FALSE
IMKTA,"Ingles Markets, Incorporated",Services,Grocery Stores,WIKI/IMKTA,stocks/imkta,FALSE
IMMR,Immersion Corporation,Technology,Application Software,WIKI/IMMR,stocks/immr,FALSE
IMMU,Immunomedics Inc.,Healthcare,Biotechnology,WIKI/IMMU,stocks/immu,FALSE
IMMY,"Imprimis Pharmaceuticals, Inc.",Healthcare,Biotechnology,NA,stocks/immy,FALSE
IMN,Imation Corp.,Technology,Data Storage Devices,WIKI/IMN,stocks/imn,FALSE
INAP,Internap Network Services Corp.,Technology,Internet Software & Services,WIKI/INAP,stocks/inap,FALSE
IMO,Imperial Oil Ltd.,Basic Materials,Major Integrated Oil & Gas,NA,stocks/imo,FALSE
INB,Cohen & Steers Global Income Bu,,,NA,stocks/inb,FALSE
INCY,Incyte Corporation,Healthcare,Biotechnology,WIKI/INCY,stocks/incy,FALSE
INDB,Independent Bank Corp.,Financial,Regional - Northeast Banks,WIKI/INDB,stocks/indb,FALSE
INFA,Informatica Corporation,Technology,Business Software & Services,WIKI/INFA,stocks/infa,FALSE
INFI,"Infinity Pharmaceuticals, Inc.",Healthcare,Biotechnology,WIKI/INFI,stocks/infi,FALSE
INFN,Infinera Corporation,Technology,Communication Equipment,WIKI/INFN,stocks/infn,FALSE
INFU,"InfuSystem Holdings, Inc.",Healthcare,Medical Instruments & Supplies,NA,stocks/infu,FALSE
INGR,Ingredion Incorporated,Consumer Goods,Processed & Packaged Goods,WIKI/INGR,stocks/ingr,FALSE
ININ,Interactive Intelligence Group Inc.,Technology,Business Software & Services,WIKI/ININ,stocks/inin,FALSE
INN,"Summit Hotel Properties, Inc.",Financial,Real Estate Development,NA,stocks/inn,FALSE
INO,"Inovio Pharmaceuticals, Inc.",Healthcare,Biotechnology,NA,stocks/ino,FALSE
INOC,Innotrac Corp.,,,NA,stocks/inoc,FALSE
INPH,Interphase Corp.,Technology,Computer Peripherals,NA,stocks/inph,FALSE
INS,Intelligent Systems Corporation,Industrial Goods,Diversified Machinery,NA,stocks/ins,FALSE
INSM,Insmed Incorporated,Healthcare,Biotechnology,WIKI/INSM,stocks/insm,FALSE
INSY,"INSYS Therapeutics, Inc.",Healthcare,Biotechnology,WIKI/INSY,stocks/insy,FALSE
INT,World Fuel Services Corp.,Basic Materials,Oil & Gas Refining & Marketing,WIKI/INT,stocks/int,FALSE
INTC,Intel Corporation,Technology,Semiconductor - Broad Line,WIKI/INTC,stocks/intc,FALSE
INTT,inTEST Corp.,Technology,Semiconductor - Integrated Circuits,NA,stocks/intt,FALSE
INTL,INTL FCStone Inc.,Financial,Investment Brokerage - National,WIKI/INTL,stocks/intl,FALSE
INTU,Intuit Inc.,Technology,Application Software,WIKI/INTU,stocks/intu,FALSE
INTX,Intersections Inc.,Services,Consumer Services,WIKI/INTX,stocks/intx,FALSE
INTG,The InterGroup Corporation,Financial,Property Management,NA,stocks/intg,FALSE
INTZ,Intrusion Inc.,Technology,Security Software & Services,NA,stocks/intz,FALSE
INVE,Identive Group Inc.,Technology,Computer Peripherals,NA,stocks/inve,FALSE
INUV,"Inuvo, Inc.",Services,Marketing Services,NA,stocks/inuv,FALSE
INVN,"InvenSense, Inc.",Technology,Semiconductor - Integrated Circuits,WIKI/INVN,stocks/invn,FALSE
INWK,InnerWorkings Inc.,Services,Business Services,WIKI/INWK,stocks/inwk,FALSE
IO,ION Geophysical Corporation,Basic Materials,Oil & Gas Equipment & Services,WIKI/IO,stocks/io,FALSE
IOSP,Innospec Inc.,Basic Materials,Specialty Chemicals,WIKI/IOSP,stocks/iosp,FALSE
IOT,Income Opportunity Realty Investors Inc.,Financial,Real Estate Development,NA,stocks/iot,FALSE
IP,International Paper Company,Consumer Goods,Packaging & Containers,WIKI/IP,stocks/ip,FALSE
IPG,"The Interpublic Group of Companies, Inc.",Services,Advertising Agencies,WIKI/IPG,stocks/ipg,FALSE
IPGP,IPG Photonics Corporation,Technology,Semiconductor Equipment & Materials,WIKI/IPGP,stocks/ipgp,FALSE
IPHI,Inphi Corporation,Technology,Semiconductor - Broad Line,WIKI/IPHI,stocks/iphi,FALSE
IPI,"Intrepid Potash, Inc.",Basic Materials,Agricultural Chemicals,WIKI/IPI,stocks/ipi,FALSE
IR,Ingersoll-Rand Plc,Industrial Goods,Diversified Machinery,WIKI/IR,stocks/ir,FALSE
IRBT,iRobot Corporation,Consumer Goods,Appliances,WIKI/IRBT,stocks/irbt,FALSE
IPXL,Impax Laboratories Inc.,Healthcare,Drug Manufacturers - Major,WIKI/IPXL,stocks/ipxl,FALSE
IRC,Inland Real Estate Corp.,Financial,REIT - Retail,NA,NA,FALSE
IRDM,Iridium Communications Inc.,Technology,Diversified Communication Services,WIKI/IRDM,stocks/irdm,FALSE
IRET,Investors Real Estate Trust,Financial,REIT - Diversified,NA,NA,FALSE
IRG,"Ignite Restaurant Group, Inc.",Services,Restaurants,WIKI/IRG,stocks/irg,FALSE
IRM,Iron Mountain Inc.,Technology,Business Software & Services,WIKI/IRM,stocks/irm,FALSE
IRIX,IRIDEX Corporation,Healthcare,Medical Appliances & Equipment,NA,stocks/irix,FALSE
IROQ,"IF Bancorp, Inc.",Financial,Savings & Loans,NA,stocks/iroq,FALSE
IRWD,"Ironwood Pharmaceuticals, Inc.",Healthcare,Drugs - Generic,NA,stocks/irwd,FALSE
ISBC,Investors Bancorp Inc.,Financial,Savings & Loans,WIKI/ISBC,stocks/isbc,FALSE
ISCA,International Speedway Corp.,Services,Sporting Activities,WIKI/ISCA,stocks/isca,FALSE
ISH,International Shipholding Corp.,Services,Shipping,WIKI/ISH,stocks/ish,FALSE
ISIG,Insignia Systems Inc.,Services,Marketing Services,NA,stocks/isig,FALSE
ISIL,Intersil Corporation,Technology,Semiconductor - Broad Line,WIKI/ISIL,stocks/isil,FALSE
ISIS,"Isis Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Other,NA,stocks/isis,FALSE
ISLE,"Isle of Capri Casinos, Inc.",Services,Resorts & Casinos,NA,stocks/isle,FALSE
ISNS,"Image Sensing Systems, Inc.",Technology,Application Software,NA,stocks/isns,FALSE
ISR,"IsoRay, Inc.",Healthcare,Medical Instruments & Supplies,NA,stocks/isr,FALSE
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Appliances & Equipment,WIKI/ISRG,stocks/isrg,FALSE
ISRL,Isramco Inc.,Basic Materials,Independent Oil & Gas,NA,stocks/isrl,FALSE
ISSC,Innovative Solutions & Support Inc.,Industrial Goods,Aerospace/Defense Products & Services,WIKI/ISSC,stocks/issc,FALSE
ISSI,Integrated Silicon Solution Inc.,Technology,Semiconductor- Memory Chips,WIKI/ISSI,stocks/issi,FALSE
IT,Gartner Inc.,Technology,Information Technology Services,WIKI/IT,stocks/it,FALSE
ITG,Investment Technology Group Inc.,Financial,Investment Brokerage - Regional,WIKI/ITG,stocks/itg,FALSE
ITI,"Iteris, Inc.",Technology,Communication Equipment,NA,stocks/iti,FALSE
ITIC,Investors Title Co.,Financial,Surety & Title Insurance,WIKI/ITIC,stocks/itic,FALSE
ITMN,"InterMune, Inc.",Healthcare,Biotechnology,WIKI/ITMN,stocks/itmn,FALSE
ITRI,"Itron, Inc.",Technology,Scientific & Technical Instruments,NA,stocks/itri,FALSE
ITT,ITT Corporation,Industrial Goods,Diversified Machinery,NA,stocks/itt,FALSE
ITW,Illinois Tool Works Inc.,Industrial Goods,Diversified Machinery,WIKI/ITW,stocks/itw,FALSE
IVAC,Intevac Inc.,Technology,Diversified Electronics,NA,stocks/ivac,FALSE
IVC,Invacare Corporation,Healthcare,Medical Appliances & Equipment,WIKI/IVC,stocks/ivc,FALSE
IVR,Invesco Mortgage Capital Inc.,Financial,REIT - Diversified,NA,NA,FALSE
IVZ,Invesco Ltd.,Financial,Asset Management,WIKI/IVZ,stocks/ivz,FALSE
IXYS,IXYS Corp.,Technology,Semiconductor - Specialized,NA,stocks/ixys,FALSE
JACK,Jack in the Box Inc.,Services,Restaurants,NA,stocks/jack,FALSE
JAH,Jarden Corp.,Consumer Goods,Housewares & Accessories,NA,stocks/jah,FALSE
JAKK,"JAKKS Pacific, Inc.",Consumer Goods,Toys & Games,WIKI/JAKK,stocks/jakk,FALSE
JBHT,JB Hunt Transport Services Inc.,Services,Trucking,WIKI/JBHT,stocks/jbht,FALSE
JBL,Jabil Circuit Inc.,Technology,Printed Circuit Boards,WIKI/JBL,stocks/jbl,FALSE
JBLU,JetBlue Airways Corporation,Services,Regional Airlines,NA,stocks/jblu,FALSE
JBSS,John B Sanfilippo & Son Inc.,Consumer Goods,Processed & Packaged Goods,WIKI/JBSS,stocks/jbss,FALSE
JBT,John Bean Technologies Corporation,Industrial Goods,Diversified Machinery,NA,stocks/jbt,FALSE
JCI,Johnson Controls Inc.,Consumer Goods,Auto Parts,WIKI/JCI,stocks/jci,FALSE
JCP,"J. C. Penney Company, Inc.",Services,Department Stores,WIKI/JCP,stocks/jcp,FALSE
JAXB,"Jacksonville Bancorp, Inc.",Financial,Regional - Mid-Atlantic Banks,NA,stocks/jaxb,FALSE
JCS,Communications Systems Inc.,Technology,Communication Equipment,NA,stocks/jcs,FALSE
JCTCF,Jewett-Cameron Trading Company Ltd.,Industrial Goods,"Lumber, Wood Production",NA,stocks/jctcf,FALSE
JDSU,JDS Uniphase Corporation,Technology,Communication Equipment,NA,stocks/jdsu,FALSE
JEC,Jacobs Engineering Group Inc.,Services,Technical Services,WIKI/JEC,stocks/jec,FALSE
JFBC,Jeffersonville Bancorp,Financial,Regional - Northeast Banks,NA,stocks/jfbc,FALSE
JFBI,Jefferson Bancshares Inc.,Financial,Savings & Loans,NA,stocks/jfbi,FALSE
JKHY,Jack Henry & Associates Inc.,Technology,Business Software & Services,WIKI/JKHY,stocks/jkhy,FALSE
JJSF,,Consumer Goods,Processed & Packaged Goods,NA,stocks/jjsf,FALSE
JMP,JMP Group Inc.,Financial,Investment Brokerage - National,NA,stocks/jmp,FALSE
JNGW,Jingwei International Limited,Technology,Application Software,NA,stocks/jngw,FALSE
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - Major,WIKI/JNJ,stocks/jnj,FALSE
JNPR,"Juniper Networks, Inc.",Technology,Networking & Communication Devices,WIKI/JNPR,stocks/jnpr,FALSE
JNS,"Janus Capital Group, Inc.",Financial,Asset Management,NA,stocks/jns,FALSE
JOB,General Employment Enterprises Inc.,Services,Staffing & Outsourcing Services,NA,stocks/job,FALSE
JOE,The St. Joe Company,Financial,Real Estate Development,WIKI/JOE,stocks/joe,FALSE
JOEZ,Joe's Jeans Inc.,Consumer Goods,Textile - Apparel Clothing,NA,stocks/joez,FALSE
JOSB,Jos. A Bank Clothiers Inc.,Services,Apparel Stores,NA,stocks/josb,FALSE
KFY,Korn/Ferry International,Services,Staffing & Outsourcing Services,WIKI/KFY,stocks/kfy,FALSE
KKD,"Krispy Kreme Doughnuts, Inc.",Services,Restaurants,WIKI/KKD,stocks/kkd,FALSE
KOP,Koppers Holdings Inc.,Basic Materials,Specialty Chemicals,WIKI/KOP,stocks/kop,FALSE
KOS,Kosmos Energy Ltd.,Basic Materials,Independent Oil & Gas,WIKI/KOS,stocks/kos,FALSE
KRO,"Kronos Worldwide, Inc.",Basic Materials,Specialty Chemicals,WIKI/KRO,stocks/kro,FALSE
KTOS,"Kratos Defense & Security Solutions, Inc.",Services,Security & Protection Services,WIKI/KTOS,stocks/ktos,FALSE
KRA,Kraton Performance Polymers Inc.,Basic Materials,Specialty Chemicals,WIKI/KRA,stocks/kra,FALSE
KVHI,KVH Industries Inc.,Technology,Communication Equipment,WIKI/KVHI,stocks/kvhi,FALSE
KWK,Quicksilver Resources Inc.,Basic Materials,Independent Oil & Gas,WIKI/KWK,stocks/kwk,FALSE
KWR,Quaker Chemical Corporation,Basic Materials,Specialty Chemicals,WIKI/KWR,stocks/kwr,FALSE
LABL,Multi-Color Corp.,Services,Business Services,WIKI/LABL,stocks/labl,FALSE
LAD,Lithia Motors Inc.,Services,Auto Dealerships,WIKI/LAD,stocks/lad,FALSE
KYTH,"Kythera Biopharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Major,WIKI/KYTH,stocks/kyth,FALSE
LAMR,Lamar Advertising Co.,Services,Advertising Agencies,WIKI/LAMR,stocks/lamr,FALSE
LANC,Lancaster Colony Corporation,Consumer Goods,Food - Major Diversified,WIKI/LANC,stocks/lanc,FALSE
LAYN,Layne Christensen Company,Industrial Goods,Heavy Construction,WIKI/LAYN,stocks/layn,FALSE
LBAI,Lakeland Bancorp Inc.,Financial,Regional - Northeast Banks,WIKI/LBAI,stocks/lbai,FALSE
LBY,Libbey Inc.,Consumer Goods,Housewares & Accessories,WIKI/LBY,stocks/lby,FALSE
LCI,"Lannett Company, Inc.",Healthcare,Drug Manufacturers - Other,WIKI/LCI,stocks/lci,FALSE
LCNB,LCNB Corp.,Financial,Regional - Mid-Atlantic Banks,WIKI/LCNB,stocks/lcnb,FALSE
LCUT,"Lifetime Brands, Inc.",Consumer Goods,Housewares & Accessories,WIKI/LCUT,stocks/lcut,FALSE
IRF,International Rectifier Corporation,Technology,Semiconductor - Integrated Circuits,WIKI/IRF,stocks/irf,FALSE
LDL,Lydall Inc.,Consumer Goods,Auto Parts,WIKI/LDL,stocks/ldl,FALSE
LDR,Landauer Inc.,Technology,Scientific & Technical Instruments,WIKI/LDR,stocks/ldr,FALSE
LEA,Lear Corp.,Consumer Goods,Auto Parts,WIKI/LEA,stocks/lea,FALSE
LEAP,Leap Wireless International Inc.,,,NA,stocks/leap,FALSE
LEDS,SemiLEDs Corporation,Technology,Semiconductor- Memory Chips,NA,stocks/leds,FALSE
LECO,Lincoln Electric Holdings Inc.,Industrial Goods,Small Tools & Accessories,WIKI/LECO,stocks/leco,FALSE
LEE,"Lee Enterprises, Incorporated",Services,Publishing - Newspapers,NA,stocks/lee,FALSE
LEG,"Leggett & Platt, Incorporated",Consumer Goods,Home Furnishings & Fixtures,WIKI/LEG,stocks/leg,FALSE
LEI,"Lucas Energy, Inc.",Basic Materials,Independent Oil & Gas,NA,stocks/lei,FALSE
LF,LeapFrog Enterprises Inc.,Consumer Goods,Toys & Games,WIKI/LF,stocks/lf,FALSE
LFUS,Littelfuse Inc.,Services,Electronics Wholesale,WIKI/LFUS,stocks/lfus,FALSE
LEN,Lennar Corp.,Industrial Goods,Residential Construction,WIKI/LEN,stocks/len,FALSE
LFVN,Lifevantage Corporation,Healthcare,Drug Related Products,WIKI/LFVN,stocks/lfvn,FALSE
LG,"The Laclede Group, Inc.",Utilities,Gas Utilities,WIKI/LG,stocks/lg,FALSE
LGCY,Legacy Reserves LP,Basic Materials,Oil & Gas Drilling & Exploration,NA,stocks/lgcy,FALSE
LGF,Lions Gate Entertainment Corp.,Services,"Movie Production, Theaters",WIKI/LGF,stocks/lgf,FALSE
LGL,"The LGL Group, Inc.",Industrial Goods,Industrial Electrical Equipment,NA,stocks/lgl,FALSE
LGND,Ligand Pharmaceuticals Incorporated,Healthcare,Biotechnology,WIKI/LGND,stocks/lgnd,FALSE
LGP,Lehigh Gas Partners LP,Basic Materials,Oil & Gas Refining & Marketing,NA,stocks/lgp,FALSE
LHCG,"LHC Group, Inc.",Healthcare,Home Health Care,WIKI/LHCG,stocks/lhcg,FALSE
LH,Laboratory Corp. of America Holdings,Healthcare,Medical Laboratories & Research,WIKI/LH,stocks/lh,FALSE
LHO,LaSalle Hotel Properties,Financial,REIT - Hotel/Motel,NA,stocks/lho,FALSE
LIFE,Life Technologies Corporation,,,WIKI/LIFE,stocks/life,FALSE
LII,"Lennox International, Inc.",Industrial Goods,Diversified Machinery,WIKI/LII,stocks/lii,FALSE
LIME,Lime Energy Co.,Services,Technical Services,NA,stocks/lime,FALSE
LINC,Lincoln Educational Services Corporation,Services,Education & Training Services,WIKI/LINC,stocks/linc,FALSE
LINE,"Linn Energy, LLC",Basic Materials,Independent Oil & Gas,NA,stocks/line,FALSE
LINTA,Liberty Interactive Corporation,Services,Catalog & Mail Order Houses,WIKI/LINTA,stocks/linta,FALSE
LION,Fidelity Southern Corporation,Financial,Regional - Mid-Atlantic Banks,WIKI/LION,stocks/lion,FALSE
LIOX,Lionbridge Technologies Inc.,Services,Business Services,WIKI/LIOX,stocks/liox,FALSE
LIVE,"LiveDeal, Inc.",Technology,Internet Information Providers,NA,stocks/live,FALSE
LIWA,"Lihua International, Inc.",Basic Materials,Copper,NA,stocks/liwa,FALSE
